Name,RA(J2000 rads),DEC(J2000 rads),Obs Date
TIC317597583,6.14385,1.318642,210707
TIC427730490,6.148354,1.248023,210707
TIC367858035,6.191409,1.320956,210707
TIC407394748,0.094608,1.359264,210707
TIC435680451,0.312676,1.381698,210707
TIC395393265,0.459702,1.357694,210707
TIC396562848,0.773859,1.336074,210707
TIC142090065,1.380093,1.391686,210707
TIC142117976,1.417909,1.391889,210707
TIC445805961,1.645563,1.330133,210707
TIC372757221,2.843022,1.41934,210708
TIC288132261,3.656191,1.388991,210708
TIC158002130,3.744703,1.434552,210708
TIC137500798,,,210708
TIC250724252,0.584777,0.927145,210715
TIC249862365,0.665372,0.91986,210715
TIC51024887,0.735747,1.085407,210715
TIC81831095,0.834383,1.077957,210715
TIC316254876,0.907377,0.957586,210715
TIC431899140,0.981268,0.79425,210715
TIC266500992,1.067657,0.912057,210715
TIC470315428,1.128329,0.922669,210715
TIC27677846,1.158377,0.809238,210715
TIC121966220,1.322922,0.7293,210715
TIC348135793,2.291798,56.42149,210721
TIC249945230,2.587347,48.273763,210721
TIC302773669,2.829107,71.753088,210721
TIC251384275,2.981349,58.735245,210721
TIC420645189,3.224695,75.268379,210721
TIC385105624,3.387207,46.682113,210721
TIC104208182,3.633478,50.955115,210721
TIC87090944,3.899106,58.9683,210721
TIC102672709,4.115409,66.119599,210721
TIC470381900,4.352043,48.819831,210721
TIC259151170,3.356393,52.692112,210725
TIC285674856,3.54642,51.884502,210725
TIC73104318,4.114774,58.465452,210725
TIC85031598,4.356406,62.245206,210725
TIC9837861,4.703239,54.292058,210725
TIC321041369,5.444737,56.963615,210725
TIC311121985,5.705419,49.513452,210725
TIC468828873,6.124803,66.857699,210725
TIC138168780,6.31953,73.827567,210725
TIC396740648,6.516581,66.360596,210725
TIC149833117,6.975236,67.677336,210725
